[2023-05-04 15:01:23,244][rospy.internal][INFO] - topic[/rosout] adding connection to [/rosout], count 0
[2023-05-04 15:01:26,255][rosout][INFO] - img_sub has been created
[2023-05-04 15:01:26,259][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/image] adding connection to [http://carla2:37229/], count 0
[2023-05-04 15:01:26,259][rospy.internal][INFO] - topic[/carla/ego_vehicle/rgb_front/camera_info] adding connection to [http://carla2:37229/], count 0
[2023-05-04 15:01:26,341][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,377][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,426][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,465][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,516][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,565][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,616][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,665][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,715][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,766][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,815][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,866][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,915][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:26,966][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,015][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,065][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,115][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,165][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,217][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,266][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,316][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,366][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,416][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,466][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,516][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,565][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,632][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,647][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,681][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,722][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,771][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,821][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,871][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,921][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:27,971][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,022][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,078][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,120][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,171][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,221][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,272][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,324][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,371][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,421][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,471][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,521][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,572][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,622][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,674][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,721][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,771][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,821][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,871][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,924][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:28,971][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,022][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,071][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,121][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,171][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,221][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,271][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,321][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,372][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,421][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,471][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,521][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,571][rosout][INFO] - (1464, 1936, 3)
[2023-05-04 15:01:29,621][rosout][INFO] - (1464, 1936, 3)
